epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,23591.9,2.36438,3.08609,1.73199,0.37485,0.18972,0.1803,0.06174,2.23988,2.9442,1.74156,0.000990365,0.000990365,0.000990365
43,24021.8,2.38161,3.18589,1.72466,0.35251,0.2551,0.19289,0.0701,2.22487,3.64705,1.72588,0.000973861,0.000973861,0.000973861
44,24707.6,2.38508,3.13668,1.70955,0.43344,0.22449,0.24955,0.08359,2.28165,2.82734,1.70549,0.000957358,0.000957358,0.000957358
45,25215.6,2.344,2.98773,1.70859,0.48411,0.18367,0.2097,0.07209,2.13927,2.94247,1.56811,0.000940855,0.000940855,0.000940855
46,25591.9,2.32892,3.16436,1.69247,0.48001,0.12245,0.18096,0.05545,2.23908,3.06483,1.71685,0.000924352,0.000924352,0.000924352
47,26122,2.32645,2.89779,1.72261,0.41675,0.29169,0.23762,0.09043,2.14386,2.76558,1.66266,0.000907848,0.000907848,0.000907848
48,26568.6,2.32687,2.9152,1.68289,0.42332,0.29592,0.24645,0.08062,2.15702,3.02974,1.62749,0.000891345,0.000891345,0.000891345
49,26980.8,2.40348,2.98897,1.75715,0.46094,0.21429,0.23567,0.09206,2.14749,2.91916,1.60002,0.000874842,0.000874842,0.000874842
50,27476.9,2.3213,2.8033,1.67229,0.41969,0.2449,0.21926,0.07817,2.24243,2.92601,1.68091,0.000858338,0.000858338,0.000858338
51,28046.9,2.24345,2.79166,1.63129,0.39806,0.21596,0.21745,0.07312,2.24855,2.70926,1.68249,0.000841835,0.000841835,0.000841835
52,28758.4,2.23607,2.85549,1.64931,0.43307,0.31633,0.23701,0.08541,2.19473,2.71265,1.62498,0.000825332,0.000825332,0.000825332
53,29392.1,2.34419,2.8525,1.68176,0.33404,0.33673,0.26907,0.09505,2.12195,3.54899,1.60362,0.000808828,0.000808828,0.000808828
54,29853.3,2.20382,2.79375,1.65362,0.52218,0.26531,0.32837,0.1091,2.17754,3.0981,1.65153,0.000792325,0.000792325,0.000792325
55,30400.9,2.31517,2.88963,1.68374,0.22692,0.31633,0.15665,0.05114,2.12226,2.76714,1.61744,0.000775822,0.000775822,0.000775822
56,31180.7,2.27043,2.72649,1.68077,0.38903,0.35714,0.30898,0.11588,2.03756,2.85615,1.57094,0.000759318,0.000759318,0.000759318
57,31567.7,2.18416,2.69006,1.61868,0.49681,0.3325,0.31627,0.11078,2.14551,2.70753,1.63551,0.000742815,0.000742815,0.000742815
58,31979.1,2.25499,2.78043,1.63956,0.48453,0.32653,0.31074,0.10262,2.10072,2.82304,1.58856,0.000726312,0.000726312,0.000726312
59,32400.2,2.25326,2.75515,1.64062,0.47383,0.34694,0.34303,0.12769,1.99709,2.57704,1.504,0.000709809,0.000709809,0.000709809
60,32851.5,2.34162,2.71369,1.70842,0.39984,0.28552,0.29868,0.10272,2.14382,2.70573,1.61292,0.000693305,0.000693305,0.000693305
61,33238.6,2.18731,2.74008,1.60755,0.49917,0.32653,0.32555,0.12161,2.09727,2.39482,1.60663,0.000676802,0.000676802,0.000676802
62,33743.2,2.24888,2.67004,1.64738,0.60784,0.31632,0.33986,0.12229,2.04766,2.64684,1.58283,0.000660299,0.000660299,0.000660299
63,34127.8,2.17472,2.67926,1.59281,0.37556,0.34694,0.28009,0.10321,2.1489,2.53278,1.56494,0.000643795,0.000643795,0.000643795
64,34527.8,2.15989,2.47943,1.60758,0.40174,0.35714,0.28655,0.09856,2.14748,2.51496,1.61012,0.000627292,0.000627292,0.000627292
65,35000.1,2.19438,2.52978,1.60766,0.53748,0.30834,0.35931,0.11867,2.09906,2.70917,1.58796,0.000610789,0.000610789,0.000610789
66,35549.1,2.10226,2.59284,1.58665,0.40312,0.29592,0.31531,0.10813,2.04945,2.7066,1.54312,0.000594286,0.000594286,0.000594286
67,35960.7,2.15092,2.46754,1.57329,0.42204,0.35714,0.35811,0.12154,2.13588,2.80687,1.59395,0.000577782,0.000577782,0.000577782
68,36432.7,2.16494,2.51938,1.62642,0.34724,0.32653,0.29452,0.11046,2.04825,2.45976,1.55019,0.000561279,0.000561279,0.000561279
69,36958,2.10536,2.42412,1.58465,0.52068,0.32653,0.33795,0.12036,2.10285,2.73604,1.59476,0.000544776,0.000544776,0.000544776
70,37453.1,2.1346,2.46386,1.62768,0.62107,0.32653,0.38783,0.14257,2.14509,2.82039,1.65426,0.000528272,0.000528272,0.000528272
71,37818.2,2.20028,2.4591,1.62643,0.61041,0.3038,0.37063,0.12533,2.11768,2.29448,1.63679,0.000511769,0.000511769,0.000511769
72,38739.3,2.19924,2.51996,1.65064,0.50385,0.342,0.37194,0.13011,2.07347,2.39008,1.59714,0.000495266,0.000495266,0.000495266
73,39331.4,2.08833,2.48768,1.60092,0.58448,0.34451,0.39568,0.14357,2.07493,2.40247,1.62211,0.000478762,0.000478762,0.000478762
74,39944.5,2.11426,2.41797,1.60194,0.50527,0.35714,0.39623,0.14191,2.09992,2.53667,1.59509,0.000462259,0.000462259,0.000462259
75,40584.2,2.12534,2.43662,1.60427,0.55359,0.33673,0.37165,0.13576,2.08692,2.34199,1.61291,0.000445756,0.000445756,0.000445756
76,41159.4,2.07395,2.37991,1.56401,0.54174,0.34694,0.38858,0.13807,2.06552,2.73858,1.56741,0.000429253,0.000429253,0.000429253
77,41787.9,2.11236,2.46612,1.56068,0.70534,0.32653,0.40248,0.13595,2.09998,2.49761,1.62068,0.000412749,0.000412749,0.000412749
78,42278.6,2.08799,2.30789,1.5913,0.44731,0.38776,0.38263,0.13055,2.06982,2.26282,1.57391,0.000396246,0.000396246,0.000396246
79,42750.7,2.09307,2.37556,1.55049,0.583,0.33673,0.39545,0.12589,2.07783,2.68285,1.61116,0.000379743,0.000379743,0.000379743
80,43371.9,2.08038,2.29944,1.58658,0.53969,0.38776,0.39276,0.13861,2.10052,2.38064,1.63822,0.000363239,0.000363239,0.000363239
81,44011,2.05111,2.21309,1.5464,0.61188,0.35714,0.37496,0.12332,2.05716,2.21492,1.59732,0.000346736,0.000346736,0.000346736
82,44365.3,2.04165,2.20273,1.54952,0.72608,0.38776,0.44072,0.1558,2.08257,2.4991,1.62771,0.000330233,0.000330233,0.000330233
83,44784.3,2.00567,2.21642,1.50844,0.53497,0.40816,0.37557,0.1308,2.01608,2.41665,1.54502,0.000313729,0.000313729,0.000313729
84,45220.8,1.96506,2.23777,1.50859,0.4566,0.41837,0.36598,0.13556,2.09367,2.46481,1.59213,0.000297226,0.000297226,0.000297226
85,45658.3,2.04886,2.21334,1.54605,0.58096,0.42857,0.44532,0.16428,2.01187,2.45448,1.55889,0.000280723,0.000280723,0.000280723
86,46301.7,2.04642,2.16918,1.5668,0.64282,0.40816,0.45992,0.16845,2.0321,2.35307,1.60406,0.00026422,0.00026422,0.00026422
87,46933.2,1.9892,2.18174,1.53786,0.57917,0.42133,0.41869,0.14705,2.0312,2.3183,1.57992,0.000247716,0.000247716,0.000247716
88,47385.3,2.0272,2.19425,1.53022,0.50219,0.44898,0.44047,0.15899,2.00792,2.29273,1.57242,0.000231213,0.000231213,0.000231213
89,48048,2.04126,2.21178,1.52386,0.57721,0.39796,0.43525,0.16333,1.99219,2.16749,1.55193,0.00021471,0.00021471,0.00021471
90,48665.7,2.07178,2.24101,1.5779,0.62108,0.41814,0.44029,0.15275,1.98523,2.31992,1.56152,0.000198206,0.000198206,0.000198206
91,49359.1,1.87679,2.08851,1.51121,0.65644,0.38776,0.45614,0.1539,1.99168,2.30609,1.52822,0.000181703,0.000181703,0.000181703
92,49878.3,1.83375,2.11125,1.52353,0.57182,0.39796,0.42522,0.14677,1.99881,2.41699,1.58532,0.0001652,0.0001652,0.0001652
93,50328,1.85794,2.17229,1.53392,0.61117,0.40101,0.43468,0.15884,2.00229,2.32558,1.57388,0.000148696,0.000148696,0.000148696
94,50721.9,1.80317,1.96844,1.51616,0.61446,0.42857,0.45812,0.16004,2.06357,2.18705,1.61556,0.000132193,0.000132193,0.000132193
95,51277.7,1.94622,1.9697,1.59272,0.70431,0.37755,0.46683,0.16245,2.04319,2.2139,1.61003,0.00011569,0.00011569,0.00011569
96,51775,1.91727,1.9873,1.59507,0.72798,0.40816,0.45444,0.14368,2.03427,2.25026,1.59887,9.91865e-05,9.91865e-05,9.91865e-05
97,52462.2,1.86802,2.02961,1.52696,0.65922,0.42857,0.43591,0.14922,1.97133,2.21129,1.55115,8.26832e-05,8.26832e-05,8.26832e-05
98,53002.5,1.84066,1.88111,1.50065,0.61586,0.40899,0.43396,0.15655,2.0011,2.22134,1.56566,6.61799e-05,6.61799e-05,6.61799e-05
99,53518,1.81126,1.92564,1.53796,0.63673,0.42927,0.45696,0.1612,1.98663,2.28557,1.56841,4.96766e-05,4.96766e-05,4.96766e-05
100,54319.6,1.8581,1.99566,1.52514,0.66963,0.47574,0.47558,0.15359,1.98132,2.27373,1.57491,3.31733e-05,3.31733e-05,3.31733e-05
